Entity,Code,Country_Check,Year, Proportion who received the final dose of (HPV) vaccine (%)
Singapore,SGP,SGP,2012,0
Singapore,SGP,SGP,2013,0
Singapore,SGP,SGP,2014,0
Singapore,SGP,SGP,2015,0
Singapore,SGP,SGP,2016,0
Singapore,SGP,SGP,2017,0
Singapore,SGP,SGP,2018,28
Singapore,SGP,SGP,2019,58
Singapore,SGP,SGP,2020,80
Singapore,SGP,SGP,2021,88
Singapore,SGP,SGP,2022,71
Slovakia,SVK,SVK,2022,14
Slovenia,SVN,SVN,2010,44
Slovenia,SVN,SVN,2011,46
Slovenia,SVN,SVN,2012,50
Slovenia,SVN,SVN,2013,38
Slovenia,SVN,SVN,2014,43
Slovenia,SVN,SVN,2015,40
Slovenia,SVN,SVN,2016,41
Slovenia,SVN,SVN,2017,43
Slovenia,SVN,SVN,2018,45
Slovenia,SVN,SVN,2019,52
Slovenia,SVN,SVN,2020,54
Slovenia,SVN,SVN,2021,38
Slovenia,SVN,SVN,2022,45
Small Island Developing States (SIDS),,,2010,0
Small Island Developing States (SIDS),,,2011,0
Small Island Developing States (SIDS),,,2012,0
Small Island Developing States (SIDS),,,2013,1
Small Island Developing States (SIDS),,,2014,2
Small Island Developing States (SIDS),,,2015,2
Small Island Developing States (SIDS),,,2016,2
Small Island Developing States (SIDS),,,2017,10
Small Island Developing States (SIDS),,,2018,11
Small Island Developing States (SIDS),,,2019,8
Small Island Developing States (SIDS),,,2020,9
Small Island Developing States (SIDS),,,2021,8
Small Island Developing States (SIDS),,,2022,9
Solomon Islands,SLB,SLB,2020,19
Solomon Islands,SLB,SLB,2022,7
South Africa,ZAF,ZAF,2014,68
South Africa,ZAF,ZAF,2015,63
South Africa,ZAF,ZAF,2016,63
South Africa,ZAF,ZAF,2017,56
South Africa,ZAF,ZAF,2018,43
South Africa,ZAF,ZAF,2019,43
South Africa,ZAF,ZAF,2020,0
South Africa,ZAF,ZAF,2021,35
South Africa,ZAF,ZAF,2022,47
South Korea,KOR,KOR,2017,49
South Korea,KOR,KOR,2018,65
South Korea,KOR,KOR,2019,56
South Korea,KOR,KOR,2020,68
South Korea,KOR,KOR,2021,66
South Korea,KOR,KOR,2022,65
Spain,ESP,ESP,2010,62
Spain,ESP,ESP,2011,66
Spain,ESP,ESP,2012,71
Spain,ESP,ESP,2013,73
Spain,ESP,ESP,2014,72
Spain,ESP,ESP,2015,79
Spain,ESP,ESP,2016,82
Spain,ESP,ESP,2017,87
Spain,ESP,ESP,2018,73
Spain,ESP,ESP,2019,79
Spain,ESP,ESP,2020,79
Spain,ESP,ESP,2021,77
Spain,ESP,ESP,2022,81
Sri Lanka,LKA,LKA,2018,55
Sri Lanka,LKA,LKA,2019,82
Sri Lanka,LKA,LKA,2020,50
Sri Lanka,LKA,LKA,2021,45
Sri Lanka,LKA,LKA,2022,49
Sub-Saharan Africa (UN),,,2011,0
Sub-Saharan Africa (UN),,,2012,1
Sub-Saharan Africa (UN),,,2013,1
Sub-Saharan Africa (UN),,,2014,4
Sub-Saharan Africa (UN),,,2015,4
Sub-Saharan Africa (UN),,,2016,5
Sub-Saharan Africa (UN),,,2017,6
Sub-Saharan Africa (UN),,,2018,7
Sub-Saharan Africa (UN),,,2019,19
Sub-Saharan Africa (UN),,,2020,18
Sub-Saharan Africa (UN),,,2021,21
Sub-Saharan Africa (UN),,,2022,22
Suriname,SUR,SUR,2014,36
Suriname,SUR,SUR,2015,62
Suriname,SUR,SUR,2016,34
Suriname,SUR,SUR,2017,55
Suriname,SUR,SUR,2018,55
Suriname,SUR,SUR,2019,36
Suriname,SUR,SUR,2020,4
Suriname,SUR,SUR,2021,2
Suriname,SUR,SUR,2022,2
Sweden,SWE,SWE,2016,73
Sweden,SWE,SWE,2017,72
Sweden,SWE,SWE,2018,75
Sweden,SWE,SWE,2019,80
Sweden,SWE,SWE,2020,82
Sweden,SWE,SWE,2021,83
Sweden,SWE,SWE,2022,83
Switzerland,CHE,CHE,2010,20
Switzerland,CHE,CHE,2011,51
Switzerland,CHE,CHE,2012,51
Switzerland,CHE,CHE,2013,51
Switzerland,CHE,CHE,2014,56
Switzerland,CHE,CHE,2015,56
Switzerland,CHE,CHE,2016,56
Switzerland,CHE,CHE,2017,59
Switzerland,CHE,CHE,2018,59
Switzerland,CHE,CHE,2019,59
Switzerland,CHE,CHE,2020,63
Switzerland,CHE,CHE,2021,71
Switzerland,CHE,CHE,2022,71
Tanzania,TZA,TZA,2018,18
Tanzania,TZA,TZA,2019,46
Tanzania,TZA,TZA,2020,55
Tanzania,TZA,TZA,2021,55
Tanzania,TZA,TZA,2022,60
Thailand,THA,THA,2017,70
Thailand,THA,THA,2018,30
Thailand,THA,THA,2019,0
Thailand,THA,THA,2020,0
Thailand,THA,THA,2021,0
Thailand,THA,THA,2022,0
Tonga,TON,TON,2022,20
Trinidad and Tobago,TTO,TTO,2013,7
Trinidad and Tobago,TTO,TTO,2015,6
Trinidad and Tobago,TTO,TTO,2016,6
Trinidad and Tobago,TTO,TTO,2017,12
Trinidad and Tobago,TTO,TTO,2018,13
Trinidad and Tobago,TTO,TTO,2019,8
Trinidad and Tobago,TTO,TTO,2021,8
Trinidad and Tobago,TTO,TTO,2022,8
Turkmenistan,TKM,TKM,2017,95
Turkmenistan,TKM,TKM,2018,99
Turkmenistan,TKM,TKM,2019,99
Turkmenistan,TKM,TKM,2020,99
Turkmenistan,TKM,TKM,2021,99
Turkmenistan,TKM,TKM,2022,99
Tuvalu,TUV,TUV,2021,27
Tuvalu,TUV,TUV,2022,80
Uganda,UGA,UGA,2016,30
Uganda,UGA,UGA,2017,57
Uganda,UGA,UGA,2018,75
Uganda,UGA,UGA,2019,65
Uganda,UGA,UGA,2020,31
Uganda,UGA,UGA,2021,45
Uganda,UGA,UGA,2022,68
United Arab Emirates,ARE,ARE,2018,33
United Arab Emirates,ARE,ARE,2019,33
United Arab Emirates,ARE,ARE,2020,34
United Arab Emirates,ARE,ARE,2021,34
United Arab Emirates,ARE,ARE,2022,34
United Kingdom,GBR,GBR,2010,77
United Kingdom,GBR,GBR,2011,83
United Kingdom,GBR,GBR,2012,88
United Kingdom,GBR,GBR,2013,86
United Kingdom,GBR,GBR,2014,86
United Kingdom,GBR,GBR,2015,84
United Kingdom,GBR,GBR,2016,82
United Kingdom,GBR,GBR,2017,80
United Kingdom,GBR,GBR,2018,81
United Kingdom,GBR,GBR,2019,81
United Kingdom,GBR,GBR,2020,63
United Kingdom,GBR,GBR,2021,58
United Kingdom,GBR,GBR,2022,56
United States,USA,USA,2010,23
United States,USA,USA,2011,23
United States,USA,USA,2012,20
United States,USA,USA,2013,26
United States,USA,USA,2014,26
United States,USA,USA,2015,30
United States,USA,USA,2016,36
United States,USA,USA,2017,44
United States,USA,USA,2018,39
United States,USA,USA,2019,49
United States,USA,USA,2020,48
United States,USA,USA,2021,50
United States,USA,USA,2022,50
Uruguay,URY,URY,2015,26
Uruguay,URY,URY,2016,45
Uruguay,URY,URY,2017,44
Uruguay,URY,URY,2018,43
Uruguay,URY,URY,2019,37
Uruguay,URY,URY,2020,24
Uruguay,URY,URY,2021,17
Uruguay,URY,URY,2022,22
Uzbekistan,UZB,UZB,2020,96
Uzbekistan,UZB,UZB,2021,88
Uzbekistan,UZB,UZB,2022,99
World,OWID_WRL,,2010,3
World,OWID_WRL,,2011,3
World,OWID_WRL,,2012,6
World,OWID_WRL,,2013,6
World,OWID_WRL,,2014,9
World,OWID_WRL,,2015,9
World,OWID_WRL,,2016,10
World,OWID_WRL,,2017,12
World,OWID_WRL,,2018,12
World,OWID_WRL,,2019,14
World,OWID_WRL,,2020,12
World,OWID_WRL,,2021,13
World,OWID_WRL,,2022,15
Zambia,ZMB,ZMB,2020,68
Zambia,ZMB,ZMB,2021,33
Zambia,ZMB,ZMB,2022,38
Zimbabwe,ZWE,ZWE,2019,65
Zimbabwe,ZWE,ZWE,2020,0
Zimbabwe,ZWE,ZWE,2021,40
Zimbabwe,ZWE,ZWE,2022,7
